raceId,year,round,circuitId,name,date,time,url
1,2018,1,albert_park,Australian Grand Prix,2018-03-25,05:10:00Z,https://en.wikipedia.org/wiki/2018_Australian_Grand_Prix
2,2018,2,bahrain,Bahrain Grand Prix,2018-04-08,15:10:00Z,https://en.wikipedia.org/wiki/2018_Bahrain_Grand_Prix
3,2018,3,shanghai,Chinese Grand Prix,2018-04-15,06:10:00Z,https://en.wikipedia.org/wiki/2018_Chinese_Grand_Prix
4,2018,4,baku,Azerbaijan Grand Prix,2018-04-29,12:10:00Z,https://en.wikipedia.org/wiki/2018_Azerbaijan_Grand_Prix
5,2018,5,catalunya,Spanish Grand Prix,2018-05-13,13:10:00Z,https://en.wikipedia.org/wiki/2018_Spanish_Grand_Prix
6,2018,6,monaco,Monaco Grand Prix,2018-05-27,13:10:00Z,https://en.wikipedia.org/wiki/2018_Monaco_Grand_Prix
7,2018,7,villeneuve,Canadian Grand Prix,2018-06-10,18:10:00Z,https://en.wikipedia.org/wiki/2018_Canadian_Grand_Prix
8,2018,8,ricard,French Grand Prix,2018-06-24,14:10:00Z,https://en.wikipedia.org/wiki/2018_French_Grand_Prix
9,2018,9,red_bull_ring,Austrian Grand Prix,2018-07-01,13:10:00Z,https://en.wikipedia.org/wiki/2018_Austrian_Grand_Prix
10,2018,10,silverstone,British Grand Prix,2018-07-08,13:10:00Z,https://en.wikipedia.org/wiki/2018_British_Grand_Prix
11,2018,11,hockenheimring,German Grand Prix,2018-07-22,13:10:00Z,https://en.wikipedia.org/wiki/2018_German_Grand_Prix
12,2018,12,hungaroring,Hungarian Grand Prix,2018-07-29,13:10:00Z,https://en.wikipedia.org/wiki/2018_Hungarian_Grand_Prix
13,2018,13,spa,Belgian Grand Prix,2018-08-26,13:10:00Z,https://en.wikipedia.org/wiki/2018_Belgian_Grand_Prix
14,2018,14,monza,Italian Grand Prix,2018-09-02,13:10:00Z,https://en.wikipedia.org/wiki/2018_Italian_Grand_Prix
15,2018,15,marina_bay,Singapore Grand Prix,2018-09-16,12:10:00Z,https://en.wikipedia.org/wiki/2018_Singapore_Grand_Prix
16,2018,16,sochi,Russian Grand Prix,2018-09-30,11:10:00Z,https://en.wikipedia.org/wiki/2018_Russian_Grand_Prix
17,2018,17,suzuka,Japanese Grand Prix,2018-10-07,05:10:00Z,https://en.wikipedia.org/wiki/2018_Japanese_Grand_Prix
18,2018,18,americas,United States Grand Prix,2018-10-21,18:10:00Z,https://en.wikipedia.org/wiki/2018_United_States_Grand_Prix
19,2018,19,rodriguez,Mexican Grand Prix,2018-10-28,19:10:00Z,https://en.wikipedia.org/wiki/2018_Mexican_Grand_Prix
20,2018,20,interlagos,Brazilian Grand Prix,2018-11-11,17:10:00Z,https://en.wikipedia.org/wiki/2018_Brazilian_Grand_Prix
21,2018,21,yas_marina,Abu Dhabi Grand Prix,2018-11-25,13:10:00Z,https://en.wikipedia.org/wiki/2018_Abu_Dhabi_Grand_Prix
22,2019,1,albert_park,Australian Grand Prix,2019-03-17,05:10:00Z,https://en.wikipedia.org/wiki/2019_Australian_Grand_Prix
23,2019,2,bahrain,Bahrain Grand Prix,2019-03-31,15:10:00Z,https://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix
24,2019,3,shanghai,Chinese Grand Prix,2019-04-14,06:10:00Z,https://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix
25,2019,4,baku,Azerbaijan Grand Prix,2019-04-28,12:10:00Z,https://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix
26,2019,5,catalunya,Spanish Grand Prix,2019-05-12,13:10:00Z,https://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix
27,2019,6,monaco,Monaco Grand Prix,2019-05-26,13:10:00Z,https://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix
28,2019,7,villeneuve,Canadian Grand Prix,2019-06-09,18:10:00Z,https://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix
29,2019,8,ricard,French Grand Prix,2019-06-23,13:10:00Z,https://en.wikipedia.org/wiki/2019_French_Grand_Prix
30,2019,9,red_bull_ring,Austrian Grand Prix,2019-06-30,13:10:00Z,https://en.wikipedia.org/wiki/2019_Austrian_Grand_Prix
31,2019,10,silverstone,British Grand Prix,2019-07-14,13:10:00Z,https://en.wikipedia.org/wiki/2019_British_Grand_Prix
32,2019,11,hockenheimring,German Grand Prix,2019-07-28,13:10:00Z,https://en.wikipedia.org/wiki/2019_German_Grand_Prix
33,2019,12,hungaroring,Hungarian Grand Prix,2019-08-04,13:10:00Z,https://en.wikipedia.org/wiki/2019_Hungarian_Grand_Prix
34,2019,13,spa,Belgian Grand Prix,2019-09-01,13:10:00Z,https://en.wikipedia.org/wiki/2019_Belgian_Grand_Prix
35,2019,14,monza,Italian Grand Prix,2019-09-08,13:10:00Z,https://en.wikipedia.org/wiki/2019_Italian_Grand_Prix
36,2019,15,marina_bay,Singapore Grand Prix,2019-09-22,12:10:00Z,https://en.wikipedia.org/wiki/2019_Singapore_Grand_Prix
37,2019,16,sochi,Russian Grand Prix,2019-09-29,11:10:00Z,https://en.wikipedia.org/wiki/2019_Russian_Grand_Prix
38,2019,17,suzuka,Japanese Grand Prix,2019-10-13,05:10:00Z,https://en.wikipedia.org/wiki/2019_Japanese_Grand_Prix
39,2019,18,rodriguez,Mexican Grand Prix,2019-10-27,19:10:00Z,https://en.wikipedia.org/wiki/2019_Mexican_Grand_Prix
40,2019,19,americas,United States Grand Prix,2019-11-03,19:10:00Z,https://en.wikipedia.org/wiki/2019_United_States_Grand_Prix
41,2019,20,interlagos,Brazilian Grand Prix,2019-11-17,17:10:00Z,https://en.wikipedia.org/wiki/2019_Brazilian_Grand_Prix
42,2019,21,yas_marina,Abu Dhabi Grand Prix,2019-12-01,13:10:00Z,https://en.wikipedia.org/wiki/2019_Abu_Dhabi_Grand_Prix
43,2020,1,red_bull_ring,Austrian Grand Prix,2020-07-05,13:10:00Z,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix
44,2020,2,red_bull_ring,Styrian Grand Prix,2020-07-12,13:10:00Z,https://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix
45,2020,3,hungaroring,Hungarian Grand Prix,2020-07-19,13:10:00Z,https://en.wikipedia.org/wiki/2020_Hungarian_Grand_Prix
46,2020,4,silverstone,British Grand Prix,2020-08-02,13:10:00Z,https://en.wikipedia.org/wiki/2020_British_Grand_Prix
47,2020,5,silverstone,70th Anniversary Grand Prix,2020-08-09,13:10:00Z,https://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix
48,2020,6,catalunya,Spanish Grand Prix,2020-08-16,13:10:00Z,https://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix
49,2020,7,spa,Belgian Grand Prix,2020-08-30,13:10:00Z,https://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix
50,2020,8,monza,Italian Grand Prix,2020-09-06,13:10:00Z,https://en.wikipedia.org/wiki/2020_Italian_Grand_Prix
51,2020,9,mugello,Tuscan Grand Prix,2020-09-13,13:10:00Z,https://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix
52,2020,10,sochi,Russian Grand Prix,2020-09-27,11:10:00Z,https://en.wikipedia.org/wiki/2020_Russian_Grand_Prix
53,2020,11,nurburgring,Eifel Grand Prix,2020-10-11,13:10:00Z,https://en.wikipedia.org/wiki/2020_Eifel_Grand_Prix
54,2020,12,portimao,Portuguese Grand Prix,2020-10-25,12:10:00Z,https://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix
55,2020,13,imola,Emilia Romagna Grand Prix,2020-11-01,12:10:00Z,https://en.wikipedia.org/wiki/2020_Emilia_Romagna_Grand_Prix
56,2020,14,istanbul,Turkish Grand Prix,2020-11-15,10:10:00Z,https://en.wikipedia.org/wiki/2020_Turkish_Grand_Prix
57,2020,15,bahrain,Bahrain Grand Prix,2020-11-29,14:10:00Z,https://en.wikipedia.org/wiki/2020_Bahrain_Grand_Prix
58,2020,16,bahrain,Sakhir Grand Prix,2020-12-06,17:10:00Z,https://en.wikipedia.org/wiki/2020_Sakhir_Grand_Prix
59,2020,17,yas_marina,Abu Dhabi Grand Prix,2020-12-13,13:10:00Z,https://en.wikipedia.org/wiki/2020_Abu_Dhabi_Grand_Prix
60,2021,1,bahrain,Bahrain Grand Prix,2021-03-28,15:00:00Z,https://en.wikipedia.org/wiki/2021_Bahrain_Grand_Prix
61,2021,2,imola,Emilia Romagna Grand Prix,2021-04-18,13:00:00Z,https://en.wikipedia.org/wiki/2021_Emilia_Romagna_Grand_Prix
62,2021,3,portimao,Portuguese Grand Prix,2021-05-02,14:00:00Z,https://en.wikipedia.org/wiki/2021_Portuguese_Grand_Prix
63,2021,4,catalunya,Spanish Grand Prix,2021-05-09,13:00:00Z,https://en.wikipedia.org/wiki/2021_Spanish_Grand_Prix
64,2021,5,monaco,Monaco Grand Prix,2021-05-23,13:00:00Z,https://en.wikipedia.org/wiki/2021_Monaco_Grand_Prix
65,2021,6,baku,Azerbaijan Grand Prix,2021-06-06,12:00:00Z,https://en.wikipedia.org/wiki/2021_Azerbaijan_Grand_Prix
66,2021,7,ricard,French Grand Prix,2021-06-20,13:00:00Z,https://en.wikipedia.org/wiki/2021_French_Grand_Prix
67,2021,8,red_bull_ring,Styrian Grand Prix,2021-06-27,13:00:00Z,https://en.wikipedia.org/wiki/2021_Styrian_Grand_Prix
68,2021,9,red_bull_ring,Austrian Grand Prix,2021-07-04,13:00:00Z,https://en.wikipedia.org/wiki/2021_Austrian_Grand_Prix
69,2021,10,silverstone,British Grand Prix,2021-07-18,14:00:00Z,https://en.wikipedia.org/wiki/2021_British_Grand_Prix
70,2021,11,hungaroring,Hungarian Grand Prix,2021-08-01,13:00:00Z,https://en.wikipedia.org/wiki/2021_Hungarian_Grand_Prix
71,2021,12,spa,Belgian Grand Prix,2021-08-29,13:00:00Z,https://en.wikipedia.org/wiki/2021_Belgian_Grand_Prix
72,2021,13,zandvoort,Dutch Grand Prix,2021-09-05,13:00:00Z,https://en.wikipedia.org/wiki/2021_Dutch_Grand_Prix
73,2021,14,monza,Italian Grand Prix,2021-09-12,13:00:00Z,https://en.wikipedia.org/wiki/2021_Italian_Grand_Prix
74,2021,15,sochi,Russian Grand Prix,2021-09-26,12:00:00Z,https://en.wikipedia.org/wiki/2021_Russian_Grand_Prix
75,2021,16,istanbul,Turkish Grand Prix,2021-10-10,12:00:00Z,https://en.wikipedia.org/wiki/2021_Turkish_Grand_Prix
76,2021,17,americas,United States Grand Prix,2021-10-24,19:00:00Z,https://en.wikipedia.org/wiki/2021_United_States_Grand_Prix
77,2021,18,rodriguez,Mexico City Grand Prix,2021-11-07,19:00:00Z,https://en.wikipedia.org/wiki/2021_Mexico_City_Grand_Prix
